Date,Lower Modal Price,Upper Model Price
2020-05-01,1807.560423187928,4487.975945516644
2020-06-01,1059.711648873401,5779.180236568627
2020-07-01,231.4287829435757,6186.075708560002
2020-08-01,-436.6271351656819,6565.625744544093
2020-09-01,-1234.8431087642284,6672.315269615222
2020-10-01,-1863.7009233641502,6855.927986765292
2020-11-01,-2315.2265377216618,7147.182498076439
2020-12-01,-2917.199661826424,7233.765798160606
2021-01-01,-3103.1055712997063,7692.243452656225
2021-02-01,-3271.1556844080505,8130.310890808202
2021-03-01,-3410.7496455394094,8563.659777226552
2021-04-01,-3649.2721247053732,8871.749489261194
2021-05-01,-3277.4551063225413,9795.116235990228
2021-06-01,-3229.7294614893854,10383.891540958766
2021-07-01,-3658.138097809187,10473.119354901808
2021-08-01,-4036.870906036332,10594.304865482209
2021-09-01,-4629.230683700856,10485.216002701272
2021-10-01,-5070.853306115544,10511.904708648537
2021-11-01,-5402.222958198414,10635.200058857074
2021-12-01,-5980.069543197082,10499.239976159653
