DateDate,Lower Modal Price,Upper Model Price
2020-11-01,1204.3244064784412,1644.8528460647062
2020-12-01,1135.1642111041936,1760.8565549997832
2021-01-01,1069.17641649095,1835.5289033991057
2021-02-01,1002.7913728141446,1887.914906823288
2021-03-01,971.0377573158212,1959.5573597260536
2021-04-01,964.3215374458308,2047.0379283847174
2021-05-01,917.5657926194144,2086.657415069297
2021-06-01,836.2077356034083,2085.8374149413776
2021-07-01,818.5171099904309,2143.746907672883
2021-08-01,740.9400080275107,2137.7078355558624
2021-09-01,617.6046315541341,2082.4104352398854
2021-10-01,624.5982054375436,2154.422745163984
2021-11-01,686.9293132776149,2287.9018943062256
2021-12-01,672.8883682453915,2342.0539736041023
2022-01-01,644.008697822803,2378.642078722404
2022-02-01,608.0493891931102,2405.230258350636
2022-03-01,598.9899385571537,2455.4487581746553
2022-04-01,599.2860833495913,2513.780897920943
2022-05-01,567.7679984393413,2538.3290464122256
2022-06-01,497.3470366105804,2522.5464619029494
