DateDate,Lower Modal Price,Upper Model Price
2020-11-01,1055.7572876350605,1469.4551594661402
2020-12-01,955.6250704332879,1564.3742681842382
2021-01-01,871.6977361213444,1627.388966465096
2021-02-01,858.3179595500004,1736.6727582925832
2021-03-01,833.9778544458316,1819.848271892169
2021-04-01,950.1982597082736,2032.9599244241174
2021-05-01,943.5670788400907,2115.234744180417
2021-06-01,837.7142498643676,2092.001860960368
2021-07-01,887.3415162065858,2219.133431105553
2021-08-01,793.1304742674818,2198.157875172974
2021-09-01,686.3471020777954,2160.977318696515
2021-10-01,525.5508015894014,2066.6431499050636
2021-11-01,587.1244775272073,2180.5000584940126
2021-12-01,582.1723104803939,2225.333125699065
2022-01-01,643.9934660734135,2335.4428417224344
2022-02-01,504.1745445630304,2242.529522156404
2022-03-01,412.49961686393044,2196.524615452864
2022-04-01,374.01100291478144,2202.56543645902
2022-05-01,375.2942593324642,2247.3192028319972
2022-06-01,319.1892348602162,2233.697908025745
