DateDate,Lower Modal Price,Upper Model Price
2019-11-01,1828.6081977391332,1999.6510224304607
2019-12-01,1780.8988123225222,2007.985926863118
2020-01-01,1746.1045001164339,2009.3421872714162
2020-02-01,1717.1929684067575,2006.8950246805955
2020-03-01,1719.155990586623,2029.6996698124713
2020-04-01,1703.542804623814,2031.3620078910808
2020-05-01,1690.873932862106,2033.575064592364
2020-06-01,1676.1346673578018,2032.0428760867253
2020-07-01,1667.1997311584994,2035.1032078135174
2020-08-01,1697.249537381987,2076.2459148667626
2020-09-01,1690.6962295902565,2080.095898855285
2020-10-01,1780.2613069762815,2179.524350321765
2020-11-01,1757.6784921800058,2176.8757943627884
2020-12-01,1744.8708582441313,2181.440517479305
2021-01-01,1732.5469901862436,2184.6733560516154
2021-02-01,1719.6910055087974,2186.0463569044014
2021-03-01,1726.6621895613,2206.2494473185534
2021-04-01,1718.5624013793454,2210.6136047682558
2021-05-01,1711.233097152313,2215.142652720837
2021-06-01,1701.3722437785887,2216.651726330822
