DateDate,Lower Modal Price,Upper Model Price
2020-11-01,1272.7542237601754,1616.503682758476
2020-12-01,1191.569791838674,1678.2683889627165
2021-01-01,1172.4744772032293,1768.4544778951888
2021-02-01,1158.4445562630722,1846.349412334806
2021-03-01,1126.2566974794681,1894.9945494434219
2021-04-01,1186.8201625237834,2028.7624408129286
2021-05-01,1150.499455491286,2059.710600964125
2021-06-01,1049.9892966265033,2021.8638075598142
2021-07-01,1135.0541069357341,2165.7635405429983
2021-08-01,1143.2894481365008,2229.669156103363
2021-09-01,1084.7379503271468,2224.060236593518
2021-10-01,973.1396430848125,2163.04792855767
2021-11-01,1006.4083914179305,2223.504887474304
2021-12-01,980.5785667669596,2224.224390541202
2022-01-01,989.4497158495462,2259.1263252182116
2022-02-01,927.4082005330883,2222.21018209032
2022-03-01,946.1208591343338,2265.5488806615317
2022-04-01,971.7287944408787,2315.333744016976
2022-05-01,958.2395534744226,2325.5933482107266
2022-06-01,889.0447256999454,2279.74234732636
