DateDate,Lower Modal Price,Upper Model Price
2020-11-01,1241.8152749621129,1657.3416108502781
2020-12-01,1168.4483392771376,1773.906152685243
2021-01-01,1073.1664018927604,1831.334204340421
2021-02-01,932.1712150855799,1822.3711302088907
2021-03-01,1011.6320087121828,2019.769375996177
2021-04-01,1028.634309978384,2144.1062695931923
2021-05-01,826.6024280705406,2041.0313301052556
2021-06-01,687.4706825785703,1994.0279896384286
2021-07-01,722.5110836046816,2115.507590855338
2021-08-01,683.0526261721492,2157.667935501653
2021-09-01,612.2973017841641,2164.391062928534
2021-10-01,563.7613781304409,2189.738389391363
2021-11-01,661.5224253329869,2373.6260567820236
2021-12-01,616.8360850078552,2411.895494460749
2022-01-01,563.017901824013,2437.947317356262
2022-02-01,457.10437910744815,2408.9634496427307
2022-03-01,546.209129084466,2572.2983904071734
2022-04-01,571.2052973362986,2669.0341509466634
2022-05-01,329.2196345575767,2496.497556032279
2022-06-01,205.15820438208857,2439.779026086844
