DateDate,Lower Modal Price,Upper Model Price
2020-10-01,624.4608634968138,1080.4735473691806
2020-11-01,674.9470015793866,1271.5635406340941
2020-12-01,607.5157393120437,1320.4938705852342
2021-01-01,534.9204891471179,1347.554712757262
2021-02-01,490.5390666274507,1391.8928762795738
2021-03-01,427.98102347850426,1410.0710388479306
2021-04-01,350.84393079046913,1407.5194159674952
2021-05-01,321.6903982396117,1448.0230977874312
2021-06-01,279.0844783084834,1471.0104507718574
2021-07-01,269.40469381206924,1523.4910527639604
2021-08-01,220.52651214603634,1533.8124952788905
2021-09-01,195.03214340176442,1564.3340273686547
2021-10-01,125.28518695801154,1558.874515529008
2021-11-01,213.83683745004544,1707.3400344907946
2021-12-01,173.77532993744762,1725.0020068178549
2022-01-01,123.6602028869296,1730.5287622569667
2022-02-01,96.74926037083969,1757.3971196638618
2022-03-01,36.7722720002954,1749.511560128371
2022-04-01,-27.52332604632852,1735.769174968162
2022-05-01,-46.537652954071746,1765.8985354751467
