DateDate,Lower Modal Price,Upper Model Price
2020-11-01,2214.95758105435,2581.2682281498373
2020-12-01,2259.738439999333,2696.5586422179426
2021-01-01,2218.261476265728,2715.9282529416355
2021-02-01,2183.7379596399314,2735.406553880859
2021-03-01,2173.0050341439096,2773.5515651774244
2021-04-01,2186.8491355710376,2832.6253538555056
2021-05-01,2138.5238766845323,2826.572645689087
2021-06-01,2087.73081992725,2815.604294627544
2021-07-01,2083.580703887841,2849.21194185723
2021-08-01,2087.135805676016,2888.751509053643
2021-09-01,2068.1774633010436,2904.2395765914307
2021-10-01,1986.8480983829427,2856.0225129028627
2021-11-01,2036.9457926668092,2952.3073764555993
2021-12-01,2101.077212655847,3055.3941187275977
2022-01-01,2070.840294736055,3062.5689623089916
2022-02-01,2044.9474166172242,3072.7675706024047
2022-03-01,2042.2160252823799,3104.093619073554
2022-04-01,2063.723497891744,3158.6497515135206
2022-05-01,2019.3153380094084,3146.334051128816
2022-06-01,1971.4986645428085,3129.7248981646285
