DateDate,Lower Modal Price,Upper Model Price
2020-11-01,-94.3558749048994,158.08811611266282
2020-12-01,-151.02428292619203,171.9050149157319
2021-01-01,-168.00414244300225,195.5945387123785
2021-02-01,-165.65219351835992,225.45203396544946
2021-03-01,-194.04706824895132,217.6605092614664
2021-04-01,-215.30278682382044,213.03333882212843
2021-05-01,-209.91783194621343,232.5988759036457
2021-06-01,-209.94870291680428,245.15023075532088
2021-07-01,-311.6242826200223,154.94622062778882
2021-08-01,-235.65985498145199,241.54561253936077
2021-09-01,-251.24776645895145,235.8912335226624
2021-10-01,-253.25887486395445,243.1158851574937
2021-11-01,-332.6207593805478,348.26337614137816
2021-12-01,-399.40306666001015,385.864787794044
2022-01-01,-432.5144290300554,423.60186762162635
2022-02-01,-449.2718614714589,460.3464939052367
2022-03-01,-481.11008103752704,472.0493234848519
2022-04-01,-505.7495422666489,484.81836314544483
2022-05-01,-515.3161765856444,508.6727787209045
2022-06-01,-527.268018118909,527.4214396953647
