Date,Lower Modal Price,Upper Model Price
2020-11-01,1799.3703643626961,4954.513685828863
2020-12-01,1234.8353931483632,4626.032070848185
2021-01-01,1132.8531235385253,4609.6049093106585
2021-02-01,624.1436690567689,4160.453854195514
2021-03-01,1339.986691240596,4930.031886303529
2021-04-01,2394.332194540654,6036.100360658925
2021-05-01,1801.4713398056629,5493.966900191727
2021-06-01,2512.0611419946817,6254.5467743801655
2021-07-01,3496.485486232633,7288.305884631521
2021-08-01,961.4512736939027,4801.993417827678
2021-09-01,1543.4855187255898,5432.1742573236115
2021-10-01,2112.8946294946663,6049.212286333158
2021-11-01,1544.5392234702479,5481.444952648283
2021-12-01,488.19452490542244,4439.840238350105
2022-01-01,414.6711869294634,4391.213560230669
2022-02-01,110.1498311331286,4114.003967087115
2022-03-01,581.8580807079545,4613.6850484842535
2022-04-01,1395.9507454258185,5455.760674030953
2022-05-01,2043.3630262725435,6131.026844417269
2022-06-01,2158.8878554718945,6274.240879052257
