DateDate,Lower Modal Price,Upper Model Price
2020-04-01,-1447.8083416511809,4095.808341651181
2020-05-01,-2595.928949061978,5243.928949061978
2020-06-01,-3476.9128765830783,6124.912876583078
2020-07-01,-4219.616683302362,6867.616683302362
2020-08-01,-4873.951872533003,7521.951872533003
2020-09-01,-5465.516101835419,8113.516101835419
2020-10-01,-6009.515553943381,8657.51555394338
2020-11-01,-6515.857898123956,9163.857898123955
2020-12-01,-6505.95948048125,9970.181702703472
2021-01-01,-6599.477472528463,10336.551546602537
2021-02-01,-5901.599703707456,11034.429769066934
2021-03-01,-6024.070518764436,10911.959407653327
2021-04-01,-7290.327264683545,12178.216153572435
2021-05-01,-8409.84816446096,13297.73705334985
2021-06-01,-9424.23074330576,14312.11963219465
2021-07-01,-10358.490893300075,15246.379782188966
2021-08-01,-11229.06249869464,16116.951387583531
2021-09-01,-12047.428408295551,16935.31729718444
2021-10-01,-12821.986756996552,17709.87564588544
2021-11-01,-13559.099757741893,18446.988646630783
