Date,Lower Modal Price,Upper Model Price
2019-06-01,1881.2234537308946,2241.624852032675
2019-07-01,2033.8343480150115,2461.261333530969
2019-08-01,2014.2097858357145,2483.3245181423717
2019-09-01,2012.8934522550812,2516.490867612359
2019-10-01,2008.827455781717,2543.7283382414817
2019-11-01,1954.8319210285179,2519.050017595157
2019-12-01,2000.4508204087554,2592.469190332101
2020-01-01,1994.608846029154,2613.1611403674415
2020-02-01,1981.1226965043202,2625.1094886689066
2020-03-01,1970.6565930918455,2639.1119165487175
2020-04-01,1971.919080728901,2663.9738043925595
2020-05-01,1878.8846432870494,2593.7591761553704
2020-06-01,1839.646456941994,2616.9154892137303
2020-07-01,2007.1950063598003,2826.6330940649364
2020-08-01,1992.3175598111857,2848.0973749800914
2020-09-01,1992.2208064919923,2881.8815564680817
2020-10-01,1988.0307435925072,2910.0672636215427
2020-11-01,1932.2778869545725,2885.5209357883296
2020-12-01,1978.007541978715,2961.44830532636
2021-01-01,1970.9519126263726,2983.6844674065474
