Date,Lower Modal Price,Upper Model Price
2020-11-01,1533.0240221072643,1840.3469150222106
2020-12-01,1432.681618485069,1808.854049927228
2021-01-01,1371.197261802817,1808.1036739694803
2021-02-01,1289.1371660537418,1779.169026724341
2021-03-01,1195.051558135641,1732.9951219965503
2021-04-01,1207.552418934186,1789.4758337083579
2021-05-01,1276.144087261745,1898.9494107541764
2021-06-01,1267.101093030181,1928.2652781359302
2021-07-01,1200.4335913285508,1897.850029661438
2021-08-01,1161.905888887899,1893.781081281923
2021-09-01,1091.5736600388536,1856.3565743530867
2021-10-01,1063.5245253246508,1859.8564377908879
2021-11-01,1213.9694410332545,2095.7492619252025
2021-12-01,1121.8135415140719,2064.2234661373436
2022-01-01,1046.365240463192,2046.6347959100704
2022-02-01,935.7155835737507,1990.626027900198
2022-03-01,804.492169317852,1911.352188130778
2022-04-01,809.7999110693869,1966.2780969682326
2022-05-01,828.6338855562843,2032.687251851642
2022-06-01,820.9634143567492,2070.7822900635288
