Date,Lower Modal Price,Upper Model Price
2020-11-01,1417.2937583079186,2619.388468780716
2020-12-01,1457.202612772938,2834.6728730490904
2021-01-01,1621.9966929051593,3058.7587505565384
2021-02-01,1616.6663739396581,3079.1566992845774
2021-03-01,1609.298466124656,3087.1305466816953
2021-04-01,1944.1255320026735,3432.8019312430283
2021-05-01,1719.8479465348278,3217.320988782021
2021-06-01,1800.8184449148794,3306.119226001242
2021-07-01,1773.2428371328692,3285.9011136933755
2021-08-01,1462.0848359845747,2981.868641734126
2021-09-01,1541.267911788373,3068.063374850733
2021-10-01,1387.8438305976838,2921.6052980066647
2021-11-01,1538.6526150480313,3125.0721758655154
2021-12-01,1531.23082929246,3144.1604515085464
2022-01-01,1665.1718064052181,3294.9422981979496
2022-02-01,1634.622610908284,3277.0213183266837
2022-03-01,1631.4890257504348,3285.269914069808
2022-04-01,1941.043172418218,3605.151074183541
2022-05-01,1697.9507861219383,3371.776872107751
2022-06-01,1781.7023172379681,3464.9221143964346
