Date,Lower Modal Price,Upper Model Price
2020-11-01,2144.600113288214,5410.6073651942
2020-12-01,2346.740645794169,6485.772062616972
2021-01-01,418.4567683418659,5010.883253880094
2021-02-01,-225.65937917164138,4626.727634106942
2021-03-01,-759.0169543140773,4250.182914434899
2021-04-01,-1018.1917820221784,4089.0686900949418
2021-05-01,-1191.19572093911,3979.322295090881
2021-06-01,-906.4594240638321,4306.109464295552
2021-07-01,-1009.873092813737,4231.517323941018
2021-08-01,-431.0505716759949,4830.728924197576
2021-09-01,205.2075645522741,5481.88895463599
2021-10-01,399.54512117308286,5687.485204586044
2021-11-01,1567.3052270982325,6948.195006302384
2021-12-01,3224.170440530312,8666.421887865872
2022-01-01,162.29794000800848,5646.365623482101
2022-02-01,-614.4026801930263,4899.097919897573
2022-03-01,-1044.3318975630832,4490.578241165631
2022-04-01,-1266.567204352311,4284.445303174028
2022-05-01,-1484.5323009792305,4079.00108346359
2022-06-01,-1255.8007417524436,4317.790611340019
