Date,Lower Modal Price,Upper Model Price
2020-06-01,1249.9591592646789,1250.0408407353211
2020-07-01,1249.9422410642746,1250.0577589357254
2020-08-01,1249.9292597051544,1250.0707402948456
2020-09-01,1249.9183159054085,1250.0816840945915
2020-10-01,1249.9086742546829,1250.0913257453171
2020-11-01,1249.8999575463515,1250.1000424536485
2020-12-01,1249.8919417137022,1250.1080582862978
2021-01-01,1249.8844807636897,1250.1155192363103
2021-02-01,1249.877473289954,1250.122526710046
2021-03-01,1249.870845459265,1250.129154540735
2021-04-01,1249.8645415336368,1250.1354584663632
2021-05-01,1249.8585182102563,1250.1414817897437
2021-06-01,1249.8366316858019,1250.1633683141981
2021-07-01,1249.817348303994,1250.182651696006
2021-08-01,1249.7999149958655,1250.2000850041345
2021-09-01,1249.7838833870883,1250.2161166129117
2021-10-01,1249.7689615426352,1250.2310384573648
2021-11-01,1249.7549466428752,1250.2450533571248
2021-12-01,1249.7416910246284,1250.2583089753716
2022-01-01,1249.7290832125802,1250.2709167874198
