Date,Lower Modal Price,Upper Model Price
2020-11-01,543.4985056159919,2536.2460010798204
2020-12-01,119.89497773855373,2700.786575255965
2021-01-01,-119.56581303634971,2794.593397287392
2021-02-01,-396.92806017648854,2724.9858530362644
2021-03-01,-629.4739554269316,2627.945114781767
2021-04-01,-829.9436191804514,2518.360985411078
2021-05-01,-333.4127512342227,3077.100924612254
2021-06-01,-235.10055533434593,3218.7046020711414
2021-07-01,-326.51286233415817,3157.8620276380598
2021-08-01,1430.169830167026,4936.422467539728
2021-09-01,1361.2875855983452,4883.400149386724
2021-10-01,1358.4661696895498,4892.217962027012
2021-11-01,1348.6668209747404,4890.106494956577
2021-12-01,2051.5303908389114,5598.764397793572
2022-01-01,91.93209176792698,3643.577512186438
2022-02-01,-629.6563263006276,2925.378882009405
2022-03-01,-674.1361707582287,2883.525745675515
2022-04-01,-1160.3403320818882,2399.3723502092334
2022-05-01,-954.228183228008,2607.096307199119
2022-06-01,-853.3107797893813,2709.287905166801
