Date,Lower Modal Price,Upper Model Price
2020-11-01,3319.0293207536606,4108.161413741198
2020-12-01,3173.364209044493,4351.41420385207
2021-01-01,3129.6228561838625,4587.108229314717
2021-02-01,3016.083385533348,4708.902459943727
2021-03-01,2932.3895670812485,4829.410927544858
2021-04-01,2894.833443058722,4976.66266554452
2021-05-01,2830.523615096133,5081.95129961734
2021-06-01,2708.5340137052276,5117.6665923462715
2021-07-01,2687.29806825105,5244.424919167061
2021-08-01,2575.0669058570493,5272.079744502124
2021-09-01,2363.9988750259836,5193.992162480572
2021-10-01,2253.36840994662,5210.36119147612
2021-11-01,2330.4678503932582,5429.732172331775
2021-12-01,2317.4379717113397,5554.929900016314
2022-01-01,2345.9448548927853,5715.569709978898
2022-02-01,2286.756948764015,5783.034543513241
2022-03-01,2244.632838912644,5860.69196797956
2022-04-01,2241.335099424882,5973.873887563698
2022-05-01,2205.370265578603,6050.765103540548
2022-06-01,2107.592448587764,6062.6425468831585
