Date,Lower Modal Price,Upper Model Price
2018-11-01,3147.1319926720166,3152.9347991094996
2018-12-01,3432.3678031394415,3439.079635235926
2019-01-01,3450.8933658234732,3458.327767831001
2019-02-01,3927.465422796523,3935.5544826192836
2019-03-01,3735.116234688672,3743.810600873816
2019-04-01,3737.295400784457,3746.55557919184
2019-05-01,3737.2631217133253,3747.0564761900537
2019-06-01,3737.018619291282,3747.317584235165
2019-07-01,3736.7781891898912,3747.559078125785
2019-08-01,3736.5477353907168,3747.7899086344155
2019-09-01,3736.3285753410905,3748.013841319437
2019-10-01,3736.162824050021,3748.275071565285
2019-11-01,3841.9493817694906,3856.48524315856
2019-12-01,4127.455927016256,4143.207201518712
2020-01-01,4145.762656643,4162.553356455112
2020-02-01,4620.535948136603,4638.302864748985
2020-03-01,4428.692647274994,4447.384728525924
2020-04-01,4430.755090310949,4450.328648066291
2020-05-01,4430.571584064767,4450.988596727967
2020-06-01,4430.175042216554,4451.402021462382
