Date,Lower Modal Price,Upper Model Price
2020-08-01,3157.9331570580543,3947.951953863613
2020-09-01,2837.536600800132,4049.9543077634935
2020-10-01,2645.5014837532144,4158.169863751104
2020-11-01,2614.941580615451,4378.340443807373
2020-12-01,2558.665752427668,4541.242613409901
2021-01-01,2585.124890846153,4764.923876320559
2021-02-01,2577.904834169975,4938.2747488831665
2021-03-01,2543.252250082694,5070.013977950739
2021-04-01,2654.0115945525704,5337.069079905868
2021-05-01,2576.2022103655663,5406.920886782884
2021-06-01,2442.702322708563,5413.758927068212
2021-07-01,2186.5269478367854,5291.562763004161
2021-08-01,2079.227870276887,5317.75578285403
2021-09-01,1914.5516097100704,5282.068710428146
2021-10-01,1813.2981982142096,5304.953499944895
2021-11-01,1841.6286009681605,5453.167881537041
2021-12-01,1872.5548927999644,5600.121810377287
2022-01-01,1937.6198579115526,5777.642686786178
2022-02-01,1943.9039517170472,5892.555926380119
2022-03-01,1894.8668344074551,5947.37603150196
