Date,Lower Modal Price,Upper Model Price
2020-11-01,3145.678747605407,3959.085591431687
2020-12-01,3039.1805977679437,4150.933307910043
2021-01-01,3063.9685034183212,4389.949070124824
2021-02-01,3056.6253199914736,4555.439875751546
2021-03-01,2951.984823074383,4600.4546509418715
2021-04-01,3129.7803453808674,4911.965428816128
2021-05-01,2998.0691030738144,4902.44123777572
2021-06-01,2907.4527779368245,4925.288558383458
2021-07-01,2780.178230782164,4904.608671745911
2021-08-01,2643.5874245869218,4869.017834669234
2021-09-01,2531.1626001875948,4852.9080568873505
2021-10-01,2495.7995495524565,4909.849755424078
2021-11-01,2476.3437477238895,4983.722754653272
2021-12-01,2517.535177969953,5114.52654274624
2022-01-01,2609.4781673566504,5292.786884821525
2022-02-01,2600.916933921925,5368.061497794975
2022-03-01,2524.012024953816,5372.065076961333
2022-04-01,2740.3495590702005,5666.5629054044675
2022-05-01,2619.282328169425,5621.223489353886
2022-06-01,2540.499748454099,5616.030589370458
