Date,Lower Modal Price,Upper Model Price
2020-11-01,2938.6110491054133,3743.239512975714
2020-12-01,2811.4031067871556,4079.851028237099
2021-01-01,2729.2893232375154,4331.770216149598
2021-02-01,2553.560906303483,4431.475980446988
2021-03-01,2360.2177556608012,4476.345235437917
2021-04-01,2452.984789254916,4783.03644351007
2021-05-01,2380.3652929898076,4906.3010304015515
2021-06-01,2243.082696121771,4950.765920843631
2021-07-01,2221.987858573896,5099.964738117075
2021-08-01,2107.8916243809963,5146.631301912155
2021-09-01,1984.367103692293,5175.792761113991
2021-10-01,1720.239600497889,5057.309564912504
2021-11-01,1688.2289707127995,5211.554551542694
2021-12-01,1672.137274819407,5382.798194943625
2022-01-01,1668.010875110593,5556.8967672230865
2022-02-01,1572.9803161619584,5631.807986210099
2022-03-01,1457.280039197441,5676.557565733201
2022-04-01,1574.4377599985269,5948.207493262391
2022-05-01,1525.6163125801036,6048.62103596984
2022-06-01,1399.4180011455428,6066.8853005325645
