Date,Lower Modal Price,Upper Model Price
2020-01-01,2668.255220773483,3387.9582542910307
2020-02-01,2477.8459585638584,3516.704903511698
2020-03-01,2343.0005821267796,3637.66872471821
2020-04-01,2226.0277907463933,3743.3578747401234
2020-05-01,2125.0055100324485,3843.1772094651665
2020-06-01,2041.072038981241,3943.9196792338803
2020-07-01,1919.9950983949982,3995.3237786184845
2020-08-01,1830.0351889662054,4067.4334884496693
2020-09-01,1638.470525020078,4028.9547846946207
2020-10-01,1560.164733673528,4095.910119934715
2020-11-01,1474.0590179405754,4148.19223298431
2020-12-01,1655.622895250119,4462.060205885017
2021-01-01,1601.869144695027,4553.260007271742
2021-02-01,1507.477855039433,4598.1841543478595
2021-03-01,1437.9444236318795,4662.828875177732
2021-04-01,1371.1443157488109,4725.512683918865
2021-05-01,1310.729913487777,4790.273608186866
2021-06-01,1259.9811534957703,4861.888009215652
2021-07-01,1168.463333799286,4888.663150602615
2021-08-01,1103.891619004234,4938.541450120687
