Date,Lower Modal Price,Upper Model Price
2011-11-01,-2194.308341651181,3349.308341651181
2011-12-01,-2962.21298827388,4543.879654940546
2012-01-01,-2838.1741482711072,5629.840814937774
2012-02-01,-3368.650792390641,5099.365078104927
2012-03-01,-3409.452833335523,5058.563944446634
2012-04-01,-3422.7908938163746,5045.226791252273
2012-05-01,-3441.860173370502,5026.158418984538
2012-06-01,-3167.959025182988,5300.060474458351
2012-07-01,-3144.059223071612,5323.961183855927
2012-08-01,-3439.7562711419073,5028.265043071732
2012-09-01,-3379.677777416489,5088.344444083156
2012-10-01,-3185.678231059443,5282.3448977261105
2012-11-01,-5352.88703605029,7449.553702716958
2012-12-01,-6496.0992286615565,9019.43256199489
2013-01-01,-6601.351018401981,10334.684351735315
2013-02-01,-7131.828116164563,9804.209068545517
2013-03-01,-7172.630610752451,9763.408388530228
2013-04-01,-7185.9691248762565,9750.07168897882
2013-05-01,-7205.038858073289,9731.003770353991
2013-06-01,-6931.13816352863,10004.906279470659
