Date,Lower Modal Price,Upper Model Price
2020-11-01,696.9024195170057,1550.7385089331426
2020-12-01,533.8058546164394,1796.7082393083965
2021-01-01,403.14792133508433,1969.1057913179488
2021-02-01,145.21115512168865,1964.5632462678204
2021-03-01,45.883302599092076,2087.409417245932
2021-04-01,-40.74818874961511,2201.0407394191434
2021-05-01,-158.941024722375,2266.632307111702
2021-06-01,-171.66652405783861,2424.6873356890524
2021-07-01,-256.66461122025066,2499.782586085246
2021-08-01,-287.05145925367333,2619.491748707817
2021-09-01,-191.89945472235672,2857.472102293449
2021-10-01,-353.5119615048136,2832.276872115396
2021-11-01,-507.5263250791529,2818.7386981796944
2021-12-01,-524.64282952233,2937.2424989601755
2022-01-01,-575.6453366663973,3016.6947612895347
2022-02-01,-776.2039367127686,2942.019581987461
2022-03-01,-832.5589105631327,3007.42332649296
2022-04-01,-882.162258570597,3075.8348932182707
2022-05-01,-969.4029226133841,3103.189469884128
2022-06-01,-951.914934830449,3232.083067657074
