Date,Lower Modal Price,Upper Model Price
2020-11-01,498.6704597064597,1956.6667699351326
2020-12-01,221.52995204943272,2334.835584149088
2021-01-01,-43.14846614041244,2550.9668385272034
2021-02-01,-218.943360425405,2783.3372644240294
2021-03-01,-392.4070928982826,2964.499258821149
2021-04-01,-500.45938947190507,3178.7285765701668
2021-05-01,-910.6309134026881,3064.2908169146776
2021-06-01,-982.0945779501217,3268.1996970066293
2021-07-01,-1025.1813469943784,3483.645802137624
2021-08-01,-1144.725800093517,3608.6086165037186
2021-09-01,-1278.7828142182602,3707.082959650676
2021-10-01,-1253.4991272855048,3954.511478780548
2021-11-01,-1371.4908131026823,4040.095211830282
2021-12-01,-1403.024526167339,4204.288383975842
2022-01-01,-1525.963871699838,4270.402979828654
2022-02-01,-1620.7889768149457,4356.945137486842
2022-03-01,-1719.613816491831,4431.093057327583
2022-04-01,-1766.5155003305692,4553.603592698379
2022-05-01,-2095.2054160740595,4389.525525501953
2022-06-01,-2112.288438187308,4533.105955334759
